,PrimerMix,Target,Assay,Conc,Exp_id,MeltPeaks,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
30,PM9.8,mcr-1,G10,1000000,20200520_02,87.70939182,-0.0012822,-0.000369,0.0001795,0.0006846,0.0007871,0.0009957,0.0011032,0.001246,0.0015577,0.0017354,0.0022934,0.0029878,0.0046973,0.0078897,0.0146352,0.0276216,0.0515688,0.0919098,0.1548478,0.2344048,0.3074568,0.3675828,0.4153378,0.4533238,0.4849408,0.5140948,0.5383018,0.5583998,0.5743558,0.5878938,0.5993268,0.6093348,0.6188978,0.6261458,0.6333308,0.6410658,0.6464388,0.6520998,0.6583738,0.6635398,0.6671208,0.6709398,0.6746488,0.6778928,0.6804598
31,PM9.8,mcr-1,G10,1000000,20200520_02,87.6257446,-0.00140668,-0.00041778,0.00026862,0.00078362,0.00077222,0.00114332,0.00123942,0.00134812,0.00132862,0.00168622,0.00228792,0.00350552,0.00549222,0.00915862,0.01661682,0.02915002,0.05234642,0.09342742,0.15610642,0.23546542,0.31336142,0.37808942,0.42699742,0.46619342,0.49876442,0.52549242,0.54700042,0.56541642,0.58230442,0.59508142,0.60692742,0.61699242,0.62636042,0.63458842,0.64196242,0.64873042,0.65577042,0.66161442,0.66807042,0.67248542,0.67695042,0.68207342,0.68627042,0.68994742,0.69449442
32,PM9.8,mcr-1,G10,1000000,20200520_02,87.61290439,-0.00158076,-0.00051466,0.00018244,0.00069514,0.00121784,0.00140994,0.00152074,0.00182934,0.00212884,0.00228874,0.00318034,0.00401654,0.00599484,0.00932464,0.01562464,0.02729144,0.04877634,0.08575134,0.14250434,0.21486834,0.28566334,0.34281934,0.38703234,0.42187834,0.45041234,0.47440334,0.49371334,0.51137834,0.52529734,0.53679434,0.54854934,0.55739534,0.56544834,0.57323734,0.57974734,0.58587634,0.59165534,0.59681234,0.60162034,0.60646534,0.61054834,0.61397734,0.61827334,0.62186334,0.62587234
33,PM9.8,mcr-1,G10,1000000,20200520_02,87.66315752,-0.00109758,-0.00047618,8.16E-05,0.00062942,0.00086272,0.00125462,0.00136962,0.00150302,0.00184052,0.00206592,0.00267462,0.00359712,0.00564162,0.00906492,0.01522942,0.02727182,0.04925362,0.08665262,0.14516062,0.21917362,0.29218962,0.35123662,0.39603562,0.43233962,0.46230762,0.48726862,0.50726162,0.52447262,0.53922862,0.55234262,0.56344662,0.57250062,0.58111962,0.58849162,0.59483662,0.60201662,0.60702162,0.61237662,0.61780362,0.62228562,0.62652362,0.63018662,0.63423262,0.63778562,0.64131162
34,PM9.8,mcr-1,G10,1000000,20200520_02,87.62777488,-0.00141628,-0.00056998,0.00019002,0.00080902,0.00098722,0.00118062,0.00125202,0.00168352,0.00200012,0.00220032,0.00289592,0.00371792,0.00567792,0.00904212,0.01525162,0.02738812,0.04918202,0.08653302,0.14362702,0.21498802,0.28428502,0.33914402,0.38231402,0.41730702,0.44662702,0.47159402,0.49209102,0.50863202,0.52346102,0.53644602,0.54749302,0.55702302,0.56584402,0.57329502,0.58088602,0.58745002,0.59330202,0.59827302,0.60301702,0.60805302,0.61247402,0.61698102,0.62061802,0.62459402,0.62837802
35,PM9.8,mcr-1,G10,10000000,20200520_02,87.81290863,-0.00103232,-0.00062822,5.58E-06,0.00057628,0.00107868,0.00128168,0.00203668,0.00292138,0.00435168,0.00663108,0.01156858,0.02062808,0.03765558,0.06761958,0.11806758,0.18964358,0.27169758,0.34452158,0.40110658,0.44533158,0.48136858,0.51037958,0.53479958,0.55447758,0.57203058,0.58679158,0.59920558,0.61009558,0.61976858,0.62763458,0.63566758,0.64239458,0.64912058,0.65445858,0.65937058,0.66491258,0.66908558,0.67289058,0.67722458,0.68084358,0.68485058,0.68825258,0.69172158,0.69412958,0.69723558
36,PM9.8,mcr-1,G10,10000000,20200520_02,87.73369951,-0.00041596,-0.00027266,-1.81E-05,0.00011724,0.00058944,0.00087284,0.00117244,0.00222404,0.00349584,0.00576034,0.01055994,0.01899104,0.03497194,0.06362014,0.11050614,0.17716714,0.25301014,0.32074414,0.37244814,0.41313314,0.44592214,0.47244714,0.49471214,0.51329714,0.52957714,0.54260214,0.55455714,0.56443314,0.57278614,0.58117814,0.58771514,0.59442814,0.59985214,0.60460914,0.60979114,0.61459914,0.61883514,0.62303714,0.62687414,0.63035214,0.63435214,0.63721314,0.64037714,0.64311414,0.64587214
37,PM9.8,mcr-1,G10,10000000,20200520_02,87.71414479,-7.86E-05,-0.00016792,-0.00014762,1.05E-05,0.00038368,0.00044658,0.00085198,0.00172168,0.00293468,0.00543978,0.01004608,0.01835858,0.03408638,0.06252518,0.10953418,0.17533418,0.24929718,0.31501318,0.36536718,0.40441418,0.43634218,0.46209718,0.48383518,0.50186918,0.51747318,0.52961418,0.54043418,0.55101118,0.55947518,0.56689718,0.57330018,0.57967318,0.58507818,0.59029618,0.59519218,0.60005418,0.60437118,0.60813618,0.61207218,0.61498718,0.61883618,0.62185418,0.62495318,0.62725918,0.62965118
38,PM9.8,mcr-1,G10,10000000,20200520_02,87.77818787,-2.21E-05,-0.00040694,-0.00020304,0.00013206,0.00050006,0.00078256,0.00105036,0.00169736,0.00328036,0.00569306,0.01056606,0.01939286,0.03639276,0.06657596,0.11621196,0.18698796,0.26600596,0.33591796,0.38960796,0.43130496,0.46597296,0.49319496,0.51654896,0.53576096,0.55239196,0.56621296,0.57815996,0.58881296,0.59795296,0.60639796,0.61421196,0.62115496,0.62668396,0.63144596,0.63692096,0.64221296,0.64603396,0.65061396,0.65453196,0.65832496,0.66250196,0.66490696,0.66882396,0.67135496,0.67435296
39,PM9.8,mcr-1,G10,10000000,20200520_02,87.74308292,-9.16E-05,-0.00030292,-0.00010462,0.00022648,0.00027268,0.00057858,0.00109728,0.00175448,0.00317578,0.00570028,0.00993138,0.01905808,0.03588118,0.06554348,0.11508748,0.18535748,0.26400848,0.33352648,0.38694148,0.42812948,0.46258748,0.49035348,0.51299348,0.53233148,0.54853648,0.56303048,0.57357548,0.58430548,0.59329848,0.60100148,0.60850048,0.61530048,0.62083148,0.62572548,0.63000448,0.63476848,0.63894648,0.64279348,0.64635748,0.64988448,0.65316648,0.65661148,0.65943648,0.66199648,0.66432048
