,Method,TrainSize,Train/Test,Accuracy,Repeat ID
256,MCA,82,Train,0.7073170731707317,2
257,MCA,82,Test,0.6086956521739131,2
258,ACA,82,Train,0.975609756097561,2
259,ACA,82,Test,0.43478260869565216,2
260,FFI,82,Train,0.2804878048780488,2
261,FFI,82,Test,0.13043478260869565,2
262,AMCA,82,Train,1.0,2
263,AMCA,82,Test,0.4782608695652174,2
264,MCA,82,Train,0.6829268292682927,3
265,MCA,82,Test,0.6521739130434783,3
266,ACA,82,Train,1.0,3
267,ACA,82,Test,0.782608695652174,3
268,FFI,82,Train,0.18292682926829268,3
269,FFI,82,Test,0.13043478260869565,3
270,AMCA,82,Train,1.0,3
271,AMCA,82,Test,0.782608695652174,3
272,MCA,82,Train,0.6097560975609756,4
273,MCA,82,Test,0.4782608695652174,4
274,ACA,82,Train,1.0,4
275,ACA,82,Test,0.4782608695652174,4
276,FFI,82,Train,0.2682926829268293,4
277,FFI,82,Test,0.21739130434782608,4
278,AMCA,82,Train,1.0,4
279,AMCA,82,Test,0.4782608695652174,4
280,MCA,82,Train,0.573170731707317,5
281,MCA,82,Test,0.34782608695652173,5
282,ACA,82,Train,1.0,5
283,ACA,82,Test,0.5652173913043478,5
284,FFI,82,Train,0.34146341463414637,5
285,FFI,82,Test,0.17391304347826086,5
286,AMCA,82,Train,1.0,5
287,AMCA,82,Test,0.5652173913043478,5
288,MCA,82,Train,0.6097560975609756,6
289,MCA,82,Test,0.5652173913043478,6
290,ACA,82,Train,1.0,6
291,ACA,82,Test,0.4782608695652174,6
292,FFI,82,Train,0.24390243902439024,6
293,FFI,82,Test,0.21739130434782608,6
294,AMCA,82,Train,1.0,6
295,AMCA,82,Test,0.4782608695652174,6
296,MCA,82,Train,0.6463414634146342,7
297,MCA,82,Test,0.6086956521739131,7
298,ACA,82,Train,1.0,7
299,ACA,82,Test,0.6521739130434783,7
300,FFI,82,Train,0.17073170731707318,7
301,FFI,82,Test,0.13043478260869565,7
302,AMCA,82,Train,1.0,7
303,AMCA,82,Test,0.6521739130434783,7
304,MCA,82,Train,0.7195121951219512,8
305,MCA,82,Test,0.7391304347826086,8
306,ACA,82,Train,1.0,8
307,ACA,82,Test,0.5652173913043478,8
308,FFI,82,Train,0.2682926829268293,8
309,FFI,82,Test,0.21739130434782608,8
310,AMCA,82,Train,1.0,8
311,AMCA,82,Test,0.5652173913043478,8
312,MCA,82,Train,0.5975609756097561,9
313,MCA,82,Test,0.43478260869565216,9
314,ACA,82,Train,1.0,9
315,ACA,82,Test,0.5217391304347826,9
316,FFI,82,Train,0.3048780487804878,9
317,FFI,82,Test,0.21739130434782608,9
318,AMCA,82,Train,0.9878048780487805,9
319,AMCA,82,Test,0.5217391304347826,9
320,MCA,82,Train,0.6707317073170732,10
321,MCA,82,Test,0.6086956521739131,10
322,ACA,82,Train,0.9512195121951219,10
323,ACA,82,Test,0.21739130434782608,10
324,FFI,82,Train,0.23170731707317074,10
325,FFI,82,Test,0.21739130434782608,10
326,AMCA,82,Train,0.9878048780487805,10
327,AMCA,82,Test,0.2608695652173913,10
328,MCA,82,Train,0.7804878048780488,11
329,MCA,82,Test,0.8695652173913043,11
330,ACA,82,Train,1.0,11
331,ACA,82,Test,0.391304347826087,11
332,FFI,82,Train,0.14634146341463414,11
333,FFI,82,Test,0.17391304347826086,11
334,AMCA,82,Train,1.0,11
335,AMCA,82,Test,0.43478260869565216,11
336,MCA,82,Train,0.7317073170731707,12
337,MCA,82,Test,0.6956521739130435,12
338,ACA,82,Train,0.975609756097561,12
339,ACA,82,Test,0.4782608695652174,12
340,FFI,82,Train,0.1951219512195122,12
341,FFI,82,Test,0.08695652173913043,12
342,AMCA,82,Train,1.0,12
343,AMCA,82,Test,0.5217391304347826,12
344,MCA,82,Train,0.6707317073170732,13
345,MCA,82,Test,0.6086956521739131,13
346,ACA,82,Train,0.9634146341463414,13
347,ACA,82,Test,0.391304347826087,13
348,FFI,82,Train,0.23170731707317074,13
349,FFI,82,Test,0.13043478260869565,13
350,AMCA,82,Train,0.9878048780487805,13
351,AMCA,82,Test,0.43478260869565216,13
352,MCA,82,Train,0.6463414634146342,14
353,MCA,82,Test,0.5652173913043478,14
354,ACA,82,Train,0.975609756097561,14
355,ACA,82,Test,0.6521739130434783,14
356,FFI,82,Train,0.1951219512195122,14
357,FFI,82,Test,0.13043478260869565,14
358,AMCA,82,Train,0.9878048780487805,14
359,AMCA,82,Test,0.6521739130434783,14
360,MCA,99,Train,0.7070707070707071,0
361,MCA,99,Test,0.5652173913043478,0
362,ACA,99,Train,1.0,0
363,ACA,99,Test,0.6521739130434783,0
364,FFI,99,Train,0.1919191919191919,0
365,FFI,99,Test,0.13043478260869565,0
366,AMCA,99,Train,1.0,0
367,AMCA,99,Test,0.6521739130434783,0
368,MCA,99,Train,0.7070707070707071,1
369,MCA,99,Test,0.6956521739130435,1
370,ACA,99,Train,0.9090909090909091,1
371,ACA,99,Test,0.6521739130434783,1
372,FFI,99,Train,0.23232323232323232,1
373,FFI,99,Test,0.17391304347826086,1
374,AMCA,99,Train,0.9696969696969697,1
375,AMCA,99,Test,0.782608695652174,1
376,MCA,99,Train,0.6767676767676768,2
377,MCA,99,Test,0.6086956521739131,2
378,ACA,99,Train,1.0,2
379,ACA,99,Test,0.391304347826087,2
380,FFI,99,Train,0.31313131313131315,2
381,FFI,99,Test,0.2608695652173913,2
382,AMCA,99,Train,1.0,2
383,AMCA,99,Test,0.43478260869565216,2
384,MCA,99,Train,0.8181818181818182,3
385,MCA,99,Test,0.782608695652174,3
386,ACA,99,Train,0.9696969696969697,3
387,ACA,99,Test,0.782608695652174,3
388,FFI,99,Train,0.25252525252525254,3
389,FFI,99,Test,0.30434782608695654,3
390,AMCA,99,Train,1.0,3
391,AMCA,99,Test,0.782608695652174,3
392,MCA,99,Train,0.7676767676767676,4
393,MCA,99,Test,0.6521739130434783,4
394,ACA,99,Train,0.98989898989899,4
395,ACA,99,Test,0.4782608695652174,4
396,FFI,99,Train,0.26262626262626265,4
397,FFI,99,Test,0.17391304347826086,4
398,AMCA,99,Train,1.0,4
399,AMCA,99,Test,0.4782608695652174,4
400,MCA,99,Train,0.6868686868686869,5
401,MCA,99,Test,0.5652173913043478,5
402,ACA,99,Train,1.0,5
403,ACA,99,Test,0.6086956521739131,5
404,FFI,99,Train,0.3434343434343434,5
405,FFI,99,Test,0.21739130434782608,5
406,AMCA,99,Train,1.0,5
407,AMCA,99,Test,0.6956521739130435,5
408,MCA,99,Train,0.6464646464646465,6
409,MCA,99,Test,0.5652173913043478,6
410,ACA,99,Train,1.0,6
411,ACA,99,Test,0.6086956521739131,6
412,FFI,99,Train,0.2727272727272727,6
413,FFI,99,Test,0.21739130434782608,6
414,AMCA,99,Train,1.0,6
415,AMCA,99,Test,0.6521739130434783,6
416,MCA,99,Train,0.7171717171717171,7
417,MCA,99,Test,0.6086956521739131,7
418,ACA,99,Train,0.9797979797979798,7
419,ACA,99,Test,0.6086956521739131,7
420,FFI,99,Train,0.18181818181818182,7
421,FFI,99,Test,0.13043478260869565,7
422,AMCA,99,Train,1.0,7
423,AMCA,99,Test,0.6521739130434783,7
424,MCA,99,Train,0.6868686868686869,8
425,MCA,99,Test,0.6956521739130435,8
426,ACA,99,Train,0.98989898989899,8
427,ACA,99,Test,0.5652173913043478,8
428,FFI,99,Train,0.2727272727272727,8
429,FFI,99,Test,0.21739130434782608,8
430,AMCA,99,Train,1.0,8
431,AMCA,99,Test,0.6086956521739131,8
432,MCA,99,Train,0.8181818181818182,9
433,MCA,99,Test,0.6956521739130435,9
