,Method,TrainSize,Train/Test,Accuracy,Repeat ID
1,MCA,35218,Test,0.8918,0
2,ACA,35218,Train,0.8441422000113579,0
3,ACA,35218,Test,0.8484,0
4,FFI,35218,Train,0.3437446760179454,0
5,FFI,35218,Test,0.3432,0
6,AMCA,35218,Train,0.993923561814981,0
7,AMCA,35218,Test,0.9928,0
0,MCA,13057,Train,0.8898675040208317,0
1,MCA,13057,Test,0.8958,0
2,ACA,13057,Train,0.8066937275024891,0
3,ACA,13057,Test,0.799,0
4,FFI,13057,Train,0.3455617676342192,0
5,FFI,13057,Test,0.3458,0
6,AMCA,13057,Train,0.9934900819483802,0
7,AMCA,13057,Test,0.993,0
0,MCA,177,Train,0.7796610169491526,0
1,MCA,177,Test,0.7562,0
2,ACA,177,Train,0.7296610169491525,0
3,ACA,177,Test,0.6434,0
4,FFI,177,Train,0.2542372881355932,0
5,FFI,177,Test,0.2176,0
6,AMCA,177,Train,0.9717514124293786,0
7,AMCA,177,Test,0.898,0
0,MCA,2498,Train,0.8759007205764612,0
1,MCA,2498,Test,0.8706,0
2,ACA,2498,Train,0.7261809447558046,0
3,ACA,2498,Test,0.7198,0
4,FFI,2498,Train,0.32986389111289033,0
5,FFI,2498,Test,0.3098,0
6,AMCA,2498,Train,0.9915932746196956,0
7,AMCA,2498,Test,0.987,0
0,MCA,1794,Train,0.850613154960981,0
1,MCA,1794,Test,0.851,0
2,ACA,1794,Train,0.7463768115942029,0
3,ACA,1794,Test,0.7196,0
4,FFI,1794,Train,0.3188405797101449,0
5,FFI,1794,Test,0.3054,0
6,AMCA,1794,Train,0.9793756967670012,0
7,AMCA,1794,Test,0.9872,0
0,MCA,6738,Train,0.8904719501335708,0
1,MCA,6738,Test,0.8876,0
2,ACA,6738,Train,0.7761947165330959,0
3,ACA,6738,Test,0.7812,0
4,FFI,6738,Train,0.3400118729593351,0
5,FFI,6738,Test,0.342,0
6,AMCA,6738,Train,0.9919857524487978,0
7,AMCA,6738,Test,0.9926,0
0,MCA,6738,Train,0.8891362422083704,0
1,MCA,6738,Test,0.8874,0
2,ACA,6738,Train,0.7496289700207777,0
